model,benchmark_value,TP,TN,FP,FN,AUC,training_set,val_set,loss,optimizer,lr,epochs,batch_size,balance,fft_len,fft_overlap,chunks,image_size,val_ratio,resampling,BENCHMARK_AUC,VAL_AUC_MAX,AUC_MAX,history_file,configfile
src.cnn.models.2conv_rectangular_3x.cnn_2conv3x11_001_dropout50_strides11_maxpool2x2_gap,120.0,89.0,66.0,28.0,92.0,0,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/training,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/validation,binary_focal_crossentropy,Adam,0.0001,5,8,False,1250,625,1,"(60, 240)",0.6581818181818182,None,0.6427353620529175,0.6427353620529175,0.6194232702255249,fe43a207-23e9-4582-a2ee-5fd0ff4d4753.json,h_selected.yaml
src.cnn.models.2conv_rectangular_3x.cnn_2conv3x11_001_dropout50_strides11_maxpool2x2_gap,147.0,45.0,83.0,13.0,134.0,0,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res35x350_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/training,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res35x350_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/validation,binary_focal_crossentropy,Adam,0.0001,5,8,False,1250,625,1,"(35, 350)",0.6509090909090909,None,0.5991619825363159,0.6004132032394409,0.6155434250831604,312fcbb1-4b99-4bad-a695-4baa83ffddc5.json,h_selected.yaml
src.cnn.models.2conv_rectangular_3x.cnn_2conv3x11_001_dropout50_strides11_maxpool2x2_gap,102.0,173.0,0.0,102.0,0.0,0,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res20x500_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/training,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res20x500_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/validation,binary_focal_crossentropy,Adam,0.0001,5,8,False,1250,625,1,"(20, 500)",0.6290909090909091,None,0.5359571576118469,0.5359571576118469,0.5275557041168213,488664a3-fa51-4610-bdf1-1e3875e2b386.json,h_selected.yaml
src.cnn.models.2conv_rectangular_3x.cnn_2conv3x6_001_dropout50_strides11_maxpool2x2_gap,94.0,181.0,0.0,94.0,0.0,0,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/training,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/validation,binary_focal_crossentropy,Adam,0.0001,5,8,False,1250,625,1,"(60, 240)",0.6581818181818182,None,0.49565064907073975,0.628482460975647,0.6667703986167908,47ae6d43-3fea-4766-b0df-f54e72abdbb3.json,h_selected.yaml
src.cnn.models.2conv_rectangular_3x.cnn_2conv3x6_001_dropout50_strides11_maxpool2x2_gap,96.0,179.0,0.0,96.0,0.0,0,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res35x350_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/training,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res35x350_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/validation,binary_focal_crossentropy,Adam,0.0001,5,8,False,1250,625,1,"(35, 350)",0.6509090909090909,None,0.5085544586181641,0.5595903396606445,0.6130579710006714,1b96dbb6-8e8f-4895-9131-cafa55e68d8d.json,h_selected.yaml
src.cnn.models.2conv_rectangular_3x.cnn_2conv3x6_001_dropout50_strides11_maxpool2x2_gap,102.0,173.0,0.0,102.0,0.0,0,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res20x500_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/training,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res20x500_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/validation,binary_focal_crossentropy,Adam,0.0001,5,8,False,1250,625,1,"(20, 500)",0.6290909090909091,None,0.5676074028015137,0.5676074028015137,0.5797696113586426,84c7251f-c73e-497b-8ea1-5fa602d94e95.json,h_selected.yaml
src.cnn.models.2conv_rectangular_2x.cnn_2conv2x10_001_dropout00_strides11_maxpool2x2_gap,94.0,181.0,0.0,94.0,0.0,0,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/training,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/validation,binary_focal_crossentropy,Adam,0.0001,5,8,False,1250,625,1,"(60, 240)",0.6581818181818182,None,0.5246855616569519,0.5840778350830078,0.6129660606384277,b648e22e-e89c-46ac-aa72-8270f7c3f848.json,h_selected.yaml
src.cnn.models.2conv_rectangular_2x.cnn_2conv2x10_001_dropout00_strides11_maxpool2x2_gap,96.0,179.0,0.0,96.0,0.0,0,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res35x350_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/training,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res35x350_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/validation,binary_focal_crossentropy,Adam,0.0001,5,8,False,1250,625,1,"(35, 350)",0.6509090909090909,None,0.5374476313591003,0.5945065021514893,0.6757317781448364,be0de876-6899-4026-a93a-d333bf5b0d91.json,h_selected.yaml
src.cnn.models.2conv_rectangular_2x.cnn_2conv2x10_001_dropout00_strides11_maxpool2x2_gap,102.0,173.0,0.0,102.0,0.0,0,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res20x500_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/training,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res20x500_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/validation,binary_focal_crossentropy,Adam,0.0001,5,8,False,1250,625,1,"(20, 500)",0.6290909090909091,None,0.5499829649925232,0.5511447191238403,0.570402979850769,2e7997d8-a0a9-4e5c-b0b8-57a8b6889a56.json,h_selected.yaml
src.cnn.models.3conv_rectangular_2x.cnn_3conv2x12_001_dropout00_strides11_maxpool2x2_gap,154.0,28.0,93.0,1.0,153.0,0,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/training,/Users/honzamichna/Documents/GitHub/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult/validation,binary_focal_crossentropy,Adam,0.0001,5,8,False,1250,625,1,"(60, 240)",0.6581818181818182,None,0.597419798374176,0.6133772134780884,0.6046639680862427,644ec566-8abf-4800-b028-e1cb09c836fe.json,h_selected.yaml
