model,benchmark_value,TP,TN,FP,FN,AUC,training_set,val_set,loss,optimizer,lr,epochs,batch_size,balance,fft_len,fft_overlap,chunks,image_size,val_ratio,resampling,BENCHMARK_AUC,VAL_AUC_MAX,AUC_MAX,history_file,configfile
src.cnn.models.ga.1.model_1,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.1,500,32,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.5381237268447876,9bdebc59-85a9-43c9-bcb0-b40b7ef6e95a.json,1.yaml
src.cnn.models.ga.1.model_2,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.1,500,32,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.5090392827987671,952ed7b3-698e-44d8-ad07-e884883c85bc.json,1.yaml
src.cnn.models.ga.1.model_6,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.1,500,32,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.5174347162246704,e6155043-5553-4280-bd36-5697c4ff15aa.json,1.yaml
src.cnn.models.ga.1.model_7,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.1,500,32,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.5323834419250488,30f04df6-e3d6-46cf-9ea2-4fad38cbe93c.json,1.yaml
src.cnn.models.ga.1.model_8,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.1,500,32,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.5087378025054932,4ccc336d-3690-4ba7-80b6-539b1eafab34.json,1.yaml
src.cnn.models.ga.1.model_9,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.1,500,32,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.508975088596344,9332a500-d6e5-4727-9d78-9048a6047d71.json,1.yaml
src.cnn.models.ga.1.model_10,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.1,500,32,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.5247349739074707,1444b452-c632-4660-8331-ac35e6197718.json,1.yaml
src.cnn.models.ga.1.model_11,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.1,500,32,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.5437628626823425,8c7e7941-57a8-4dc5-876a-7e18bb9fc007.json,1.yaml
src.cnn.models.ga.1.model_12,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.1,500,32,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.5195044279098511,59b75e90-94f8-4774-87f3-1df57e954e4b.json,1.yaml
src.cnn.models.ga.1.model_13,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.1,500,32,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.5113345980644226,538fc995-22aa-4d98-a06a-e8e0125aa939.json,1.yaml
src.cnn.models.ga.1.model_14,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.1,500,32,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.5156062245368958,bf079534-86c7-4f25-aba6-b3fc92e17513.json,1.yaml
src.cnn.models.ga.1.model_16,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.1,500,32,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.525009274482727,453d8ebc-b500-4960-b926-b7f67c935be2.json,1.yaml
